9.6e-007	28212958
5.216e-005	27554138
0.00010336	27389783
0.00015456	27196443
0.00020576	26889054
0.00025696	26709344
0.00030816	26466768
0.00035936	26172841
0.00041056	25998762
0.00046176	25787673
0.00051296	25502771
0.00056416	25244661
0.00061536	25066297
0.00066656	24914492
0.00071776	24894466
0.00076896	24885829
0.00082016	24696599
0.00087136	24689777
0.00092256	24622544
0.00097376	24495877
0.00102496	24467155
0.00107616	24458458
0.00112736	24495808
0.00117856	24430909
0.00122976	24272784
0.00128096	24148472
0.00133216	24029775
0.00138336	23870404
0.00143456	23705361
0.00148576	23519172
0.00153696	23390638
0.00158816	23412569
0.00163936	23384951
0.00169056	23317770
0.00174176	23214434
0.00179296	23148078
0.00184416	23345164
0.00189536	23474873
0.00194656	23426329
0.00199776	23414415
0.00204896	23530012
0.00210016	24600148
0.00215136	25520317
0.00220256	26105837
0.00225376	26376347
0.00230496	26871178
0.00235616	27100813
0.00240736	27101538
0.00245856	27021115
0.00250976	26911396
0.00256096	26796290
0.00261216	26842683
0.00266336	26856792
0.00271456	26732786
0.00276576	26602616
0.00281696	26557982
0.00286816	26632931
0.00291936	26626380
0.00297056	26513965
0.00302176	26457018
0.00307296	26447923
0.00312416	26343458
0.00317536	26295176
0.00322656	26517701
0.00327776	27127576
0.00332896	27064220
0.00338016	26952699
0.00343136	26864874
0.00348256	26891678
0.00353376	26793602
0.00358496	26648778
0.00363616	26588317
0.00368736	26696701
0.00373856	27688816
0.00378976	27864971
0.00384096	27969716
0.00389216	27977281
0.00394336	27847424
0.00399456	27780168
0.00404576	27773276
0.00409696	27667903
0.00414816	27557644
0.00419936	27496964
0.00425056	27615569
0.00430176	27668073
0.00435296	27460445
0.00440416	27482310
0.00445536	27551324
0.00450656	28683740
0.00455776	29126771
0.00460896	29126266
0.00466016	29128044
0.00471136	29546128
0.00476256	30979130
0.00481376	31118241
0.00486496	31118432
0.00491616	31022110
0.00496736	30884057
0.00501856	30888747
0.00506976	30778362
0.00512096	30603905
0.00517216	30421638
0.00522336	30150257
0.00527456	29910557
