X,Y
1,2.530
2,2.506
3,2.433
4,2.388
5,2.396
6,2.360
7,2.330
8,2.307
9,2.304
10,2.303
11,2.213
12,2.136
13,2.146
14,2.171
15,2.101
16,2.134
17,2.083
18,2.150
19,2.090
20,2.144
21,2.041
22,2.062
23,2.155
24,2.085
25,2.117
26,2.094
27,2.133
28,2.079
29,2.055
30,2.045
31,2.054
32,2.047
33,1.993
34,1.999
35,2.008
36,2.000
37,1.980
38,1.932
39,1.987
40,1.919
41,1.958
42,1.958
43,1.975
44,2.019
45,2.110
46,2.164
47,2.139
48,2.200
49,2.115
50,2.188
51,2.198
52,2.190
53,2.306
54,2.164
55,2.138
56,2.110
57,2.159
58,2.137
59,2.077
60,2.141
61,2.091
62,2.058
63,2.151
64,2.119
65,2.151
66,2.137
67,2.136
68,2.099
69,2.169
70,2.109
71,2.118
72,2.072
73,2.162
74,2.253
75,2.306
76,2.332
77,2.318
78,2.320
79,2.245
80,2.300
81,2.210
82,2.214
83,2.254
84,2.218
85,2.222
86,2.293
87,2.336
88,2.249
89,2.487
90,2.424
91,2.451
92,2.489
93,2.517
94,2.754
95,2.690
96,2.749
97,2.787
98,2.664
99,2.740
100,2.699
101,2.735
102,2.738
103,2.720
104,2.708
105,2.701
106,2.684
107,2.711
108,2.798
109,2.764
110,2.864
111,2.852
112,2.921
113,2.982
114,2.774
115,2.824
116,2.712
117,2.759
118,2.626
119,2.486
120,2.456
121,2.440
122,2.454
123,2.351
124,2.391
125,2.420
126,2.267
127,2.286
128,2.359
129,2.241
130,2.188
131,2.286
132,2.337
133,2.186
134,2.231
135,2.270
136,2.254
137,2.301
138,2.206
139,2.207
140,2.164
141,2.207
142,2.092
143,2.169
144,2.334
145,2.473
146,2.398
147,2.334
148,2.253
149,2.228
150,2.241
151,2.133
152,2.124
153,1.934
154,1.887
155,1.808
156,1.812
157,1.736
158,1.734
159,1.738
160,1.703
161,1.688
162,1.650
163,1.693
164,1.590
165,1.606
166,1.629
167,1.638
168,1.530
169,1.596
170,1.612
171,1.539
172,1.562
173,1.585
174,1.552
175,1.450
176,1.477
177,1.515
178,1.481
179,1.412
180,1.454
181,1.479
182,1.456
183,1.419
184,1.337
185,1.483
186,1.568
187,1.567
188,1.513
189,1.546
190,1.503
191,1.515
192,1.478
193,1.507
194,1.519
195,1.446
196,1.484
197,1.423
198,1.448
199,1.368
200,1.384
201,1.348
202,1.303
203,1.321
204,1.357
205,1.335
206,1.291
207,1.338
208,1.325
209,1.279
210,1.271
211,1.270
212,1.209
213,1.255
214,1.201
215,1.214
216,1.225
217,1.150
218,1.129
219,1.150
220,1.100
221,0.004
222,0.005
223,0.003
224,0.003
225,0.003
226,0.003
227,0.003
228,0.003
229,0.002
230,0.001
231,0.003
232,0.004
233,0.005
234,0.002
235,5.696E-4
236,0.006
237,0.004
238,0.004
239,0.004
240,0.003
241,0.003
242,0.003
243,0.004
244,0.003
245,0.002
246,0.005
247,0.002
248,0.003
249,0.002
250,0.003
251,0.003
252,0.003
253,0.004
254,8.544E-4
255,0.006
256,0.004
257,0.002
258,0.001
259,0.002
260,0.002
261,0.003
262,0.002
263,0.002
264,8.548E-4
265,0.002
266,0.006
267,0.004
268,0.002
269,0.002
270,0.003
271,0.001
272,0.003
273,0.003
274,0.005
275,0.003
276,0.003
277,0.002
278,0.003
279,0.006
280,0.002
281,0.004
282,0.005
283,0.003
284,8.542E-4
285,0.002
286,0.003
287,0.003
288,0.005
289,0.003
290,0.004
291,9.974E-4
292,0.002
293,0.029
294,5.684
295,35.366
296,67.956
297,46.866
298,34.782
299,40.862
300,40.739
301,37.446
302,39.103
303,34.216
304,26.887
305,23.101
306,20.322
307,16.949
308,14.891
309,15.788
310,14.032
311,10.737
312,9.256
313,11.946
314,13.387
315,12.915
316,12.005
317,10.779
318,9.413
319,8.079
320,7.272
321,6.130
322,8.266
323,11.200
324,11.558
325,10.752
326,10.092
327,9.999
328,9.819
329,9.801
330,9.391
331,9.267
332,8.857
333,8.681
334,8.645
335,8.765
336,8.621
337,8.537
338,8.264
339,8.178
340,8.279
341,8.104
342,8.182
343,7.978
344,7.913
345,7.802
346,7.665
347,7.576
348,7.380
349,7.518
350,7.695
351,7.620
352,7.385
353,7.211
354,7.168
355,7.136
356,7.275
357,7.007
358,6.354
359,6.141
360,6.741
361,7.021
362,6.866
363,6.904
364,6.830
365,6.710
366,6.774
367,6.696
368,6.562
369,6.661
370,6.458
371,6.511
372,6.443
373,6.382
374,6.346
375,6.297
376,6.399
377,6.357
378,6.223
379,6.025
380,6.077
381,6.095
382,5.976
383,5.955
384,5.891
385,5.991
386,6.091
387,6.126
388,5.982
389,5.906
390,5.849
391,5.771
392,5.484
393,5.459
394,5.624
395,5.609
396,5.644
397,5.651
398,5.813
399,5.620
400,5.553
401,5.652
402,5.673
403,5.650
404,5.646
405,5.377
406,5.416
407,5.453
408,5.410
409,5.211
410,5.290
411,5.288
412,5.008
413,4.712
414,4.799
415,5.132
416,5.291
417,5.195
418,5.176
419,5.259
420,5.078
421,5.183
422,5.038
423,4.810
424,4.695
425,5.033
426,5.027
427,4.897
428,4.940
429,5.017
430,5.138
431,5.029
432,4.983
433,5.114
434,4.948
435,4.984
436,4.936
437,4.950
438,4.893
439,4.861
440,4.652
441,4.544
442,4.521
443,4.724
444,4.841
445,4.644
446,4.716
447,4.716
448,4.716
449,4.731
450,4.788
451,4.612
452,4.813
453,4.656
454,4.606
455,4.515
456,4.469
457,4.556
458,4.516
459,4.582
460,4.539
461,4.443
462,4.601
463,4.515
464,4.550
465,4.544
466,4.520
467,4.426
468,4.407
469,4.426
470,4.478
471,4.325
472,4.089
473,4.061
474,4.220
475,4.279
476,4.300
477,4.432
478,4.383
479,4.486
480,4.339
481,4.206
482,4.183
483,4.025
484,4.277
485,4.309
486,4.434
487,4.359
488,4.272
489,4.220
490,4.205
491,4.382
492,4.141
493,4.340
494,4.308
495,4.433
496,4.482
497,4.524
498,4.560
499,4.396
500,4.295
501,4.208
502,4.158
503,4.222
504,4.232
505,4.171
506,4.155
507,4.137
508,4.139
509,4.148
510,4.231
511,4.159
512,4.142
513,4.159
514,4.198
515,4.146
516,4.177
517,4.147
518,4.011
519,4.112
520,4.006
521,3.999
522,4.065
523,3.962
524,3.951
525,3.957
526,3.857
527,3.930
528,3.957
529,4.048
530,3.975
531,3.929
532,3.937
533,3.810
534,3.804
535,3.832
536,3.902
537,3.931
538,3.681
539,3.084
540,2.456
541,2.727
542,3.462
543,3.757
544,3.880
545,4.071
546,3.930
547,3.760
548,3.864
549,3.845
550,3.854
551,3.924
552,3.812
553,3.757
554,3.746
555,3.708
556,3.718
557,3.502
558,3.637
559,3.592
560,3.561
561,3.548
562,3.591
563,3.511
564,3.691
565,3.619
566,3.740
567,3.704
568,3.742
569,3.726
570,3.588
571,3.683
572,3.681
573,3.814
574,3.843
575,3.788
576,3.812
577,3.842
578,3.756
579,3.693
580,3.752
581,3.881
582,3.752
583,3.646
584,3.762
585,3.622
586,3.669
587,3.721
588,3.698
589,3.603
590,3.702
591,3.725
592,3.662
593,3.703
594,3.626
595,3.604
596,3.667
597,3.591
598,3.725
599,3.623
600,3.767
601,3.722
602,3.619
603,3.616
604,3.606
605,3.635
606,3.687
607,3.644
608,3.706
609,3.775
610,3.724
611,3.573
612,3.466
613,3.403
614,3.337
615,3.531
616,3.472
617,3.322
618,3.117
619,3.254
620,3.370
621,3.498
622,3.622
623,3.611
624,3.593
625,3.381
626,3.341
627,3.479
628,3.500
629,3.541
630,3.476
631,3.583
632,3.409
633,3.519
634,3.467
635,3.623
636,3.594
637,3.532
638,3.536
639,3.591
640,3.507
641,3.498
642,3.488
643,3.482
644,3.249
645,3.141
646,3.295
647,3.413
648,3.514
649,3.528
650,3.548
651,3.506
652,3.462
653,3.525
654,3.445
655,3.525
656,3.574
657,3.588
658,3.378
659,3.466
660,3.472
661,3.441
662,3.510
663,3.415
664,3.477
665,3.431
666,3.489
667,3.504
668,3.507
669,3.353
670,3.454
671,3.342
672,3.252
673,3.053
674,2.807
675,2.966
676,3.215
677,3.298
678,3.322
679,3.459
680,3.326
681,3.283
682,3.307
683,3.414
684,3.379
685,3.406
686,3.396
687,3.305
688,3.313
689,3.413
690,3.391
691,3.411
692,3.195
693,3.278
694,3.286
695,3.322
696,3.215
697,3.427
698,3.367
699,3.290
700,3.306
701,3.367
702,3.337
703,3.412
704,3.313
705,3.350
706,3.471
707,3.320
708,3.200
709,3.156
710,3.304
711,3.364
712,3.400
713,3.376
714,3.403
715,3.352
716,3.378
717,3.346
718,3.326
719,3.255
720,3.230
721,3.343
722,3.318
723,3.344
724,3.326
725,3.289
726,3.286
727,3.321
728,3.362
729,3.401
730,3.357
731,3.135
732,3.175
733,3.179
734,3.154
735,3.101
736,3.033
737,2.341
738,1.776
739,2.018
740,2.638
741,2.985
742,3.132
743,3.225
744,3.276
745,3.260
746,3.258
747,3.221
748,3.147
749,3.294
750,3.265
751,3.248
752,3.268
753,3.136
754,3.322
755,3.265
756,3.249
757,3.268
758,3.240
759,3.178
760,3.052
761,2.960
762,2.918
763,2.900
764,3.097
765,3.173
766,3.208
767,3.129
768,3.153
769,3.068
770,3.062
771,3.147
772,3.154
773,3.187
774,3.176
775,3.230
776,3.332
777,3.206
778,3.229
779,3.182
780,3.064
781,2.899
782,2.733
783,2.784
784,3.046
785,2.964
786,3.032
787,3.200
788,3.169
789,3.117
790,3.121
791,3.170
792,3.163
793,3.089
794,3.129
795,3.030
796,3.086
797,3.115
798,3.033
799,3.084
800,3.025
801,3.086
802,2.949
803,2.839
804,2.766
805,2.631
806,2.244
807,1.622
808,1.208
809,1.184
810,1.598
811,2.137
812,2.519
813,2.721
814,2.815
815,2.894
816,2.915
817,2.878
818,2.835
819,2.887
820,2.634
821,2.280
822,2.071
823,2.180
824,2.559
825,2.755
826,2.810
827,2.855
828,2.860
829,3.059
830,3.063
831,2.978
832,2.940
833,3.078
834,3.023
835,3.091
836,3.208
837,3.033
838,3.129
839,3.147
840,3.116
841,3.068
842,3.069
843,3.018
844,3.097
845,3.065
846,3.054
847,3.001
848,2.984
849,3.031
850,2.939
851,3.036
852,3.033
853,2.981
854,2.958
855,2.997
856,2.993
857,2.984
858,3.028
859,3.001
860,2.995
861,3.043
862,2.979
863,3.025
864,3.033
865,3.073
866,2.977
867,3.016
868,2.998
869,3.101
870,3.001
871,3.015
872,3.011
873,3.013
874,3.037
875,2.993
876,2.957
877,3.087
878,2.894
879,2.993
880,3.020
881,2.942
882,2.979
883,2.986
884,3.008
885,3.006
886,2.884
887,2.657
888,2.286
889,1.930
890,1.964
891,2.315
892,2.588
893,2.680
894,2.795
895,2.990
896,2.946
897,2.962
898,2.862
899,2.921
900,2.835
901,2.908
902,2.844
903,2.793
904,2.707
905,2.725
906,2.783
907,2.871
908,2.942
909,2.957
910,2.909
911,2.956
912,3.089
913,2.867
914,2.955
915,2.941
916,2.976
917,2.976
918,2.899
919,3.011
920,2.928
921,2.918
922,2.973
923,2.900
924,2.913
925,2.984
926,2.875
927,2.912
928,2.981
929,2.912
930,2.967
931,2.893
932,2.898
933,2.950
934,2.995
935,2.968
936,2.885
937,2.933
938,2.933
939,2.935
940,2.916
941,2.844
942,2.856
943,2.842
944,2.978
945,2.862
946,2.902
947,2.901
948,2.964
949,2.887
950,2.856
951,2.840
952,2.794
953,2.888
954,2.918
955,2.933
956,2.814
957,2.938
958,2.912
959,2.926
960,2.903
961,2.983
962,2.850
963,2.885
964,2.871
965,2.861
966,2.833
967,2.855
968,2.876
969,2.874
970,2.861
971,2.865
972,2.894
973,2.847
974,2.867
975,2.865
976,2.804
977,2.831
978,2.845
979,2.775
980,2.859
981,2.932
982,2.894
983,2.892
984,2.880
985,2.823
986,2.839
987,2.890
988,2.855
989,2.956
990,2.966
991,2.887
992,2.830
993,2.796
994,2.759
995,2.788
996,2.895
997,2.928
998,2.908
999,2.898
1000,2.991
1001,2.909
1002,2.804
1003,2.819
1004,2.842
1005,2.829
1006,2.840
1007,2.901
1008,2.904
1009,2.842
1010,2.942
1011,2.940
1012,2.873
1013,2.798
1014,2.740
1015,2.792
1016,2.787
1017,2.828
1018,2.770
1019,2.866
1020,2.765
1021,2.779
1022,2.792
1023,2.810
1024,2.912
1025,2.837
1026,2.740
1027,2.812
1028,2.848
1029,2.885
1030,2.768
1031,2.851
1032,2.759
1033,2.786
1034,2.751
1035,2.817
1036,2.782
1037,2.737
1038,2.713
1039,2.797
1040,2.815
1041,2.811
1042,2.824
1043,2.806
1044,2.719
1045,2.860
1046,2.796
1047,2.822
1048,2.736
1049,2.829
1050,2.637
1051,2.745
1052,2.774
1053,2.766
1054,2.787
1055,2.737
1056,2.798
1057,2.700
1058,2.845
1059,2.776
1060,2.809
1061,2.743
1062,2.749
1063,2.775
1064,2.705
1065,2.717
1066,2.701
1067,2.607
1068,2.596
1069,2.688
1070,2.706
1071,2.746
1072,2.765
1073,2.782
1074,2.793
1075,2.684
1076,2.728
1077,2.877
1078,2.760
1079,2.763
1080,2.861
1081,2.776
1082,2.742
1083,2.665
1084,2.715
1085,2.842
1086,2.800
1087,2.727
1088,2.775
1089,2.788
1090,2.765
1091,2.773
1092,2.636
1093,2.764
1094,2.712
1095,2.770
1096,2.766
1097,2.673
1098,2.735
1099,2.713
1100,2.670
1101,2.750
1102,2.702
1103,2.755
1104,2.769
1105,2.815
1106,2.845
1107,2.808
1108,2.852
1109,2.739
1110,2.710
1111,2.794
1112,2.809
1113,2.823
1114,2.720
1115,2.687
1116,2.795
1117,2.717
1118,2.708
1119,2.682
1120,2.683
1121,2.696
1122,2.713
1123,2.729
1124,2.692
1125,2.694
1126,2.758
1127,2.700
1128,2.748
1129,2.772
1130,2.790
1131,2.695
1132,2.717
1133,2.744
1134,2.621
1135,2.721
1136,2.762
1137,2.762
1138,2.750
1139,2.706
1140,2.667
1141,2.659
1142,2.652
1143,2.623
1144,2.642
1145,2.710
1146,2.688
1147,2.641
1148,2.766
1149,2.632
1150,2.633
1151,2.612
1152,2.607
1153,2.700
1154,2.657
1155,2.665
1156,2.659
1157,2.669
1158,2.677
1159,2.642
1160,2.658
1161,2.723
1162,2.741
1163,2.710
1164,2.739
1165,2.663
1166,2.699
1167,2.711
1168,2.760
1169,2.802
1170,2.711
1171,2.755
1172,2.664
1173,2.658
1174,2.636
1175,2.672
1176,2.639
1177,2.654
1178,2.720
1179,2.679
1180,2.609
1181,2.684
1182,2.566
1183,2.676
1184,2.544
1185,2.606
1186,2.516
1187,2.598
1188,2.554
1189,2.615
1190,2.641
1191,2.646
1192,2.681
1193,2.605
1194,2.558
1195,2.615
1196,2.695
1197,2.635
1198,2.605
1199,2.641
1200,2.642
1201,2.709
1202,2.622
1203,2.555
1204,2.610
1205,2.640
1206,2.623
1207,2.616
1208,2.665
1209,2.549
1210,2.562
1211,2.576
1212,2.511
1213,2.528
1214,2.412
1215,2.312
1216,2.215
1217,1.902
1218,1.735
1219,1.697
1220,1.493
1221,1.636
1222,1.748
1223,1.791
1224,2.102
1225,2.198
1226,2.305
1227,2.323
1228,2.354
1229,2.493
1230,2.484
1231,2.553
1232,2.520
1233,2.572
1234,2.532
1235,2.556
1236,2.537
1237,2.499
1238,2.641
1239,2.561
1240,2.491
1241,2.626
1242,2.693
1243,2.554
1244,2.556
1245,2.690
1246,2.618
1247,2.641
1248,2.626
1249,2.579
1250,2.621
1251,2.625
1252,2.581
1253,2.559
1254,2.581
1255,2.618
1256,2.654
1257,2.564
1258,2.714
1259,2.632
1260,2.580
1261,2.639
1262,2.566
1263,2.593
1264,2.491
1265,2.583
1266,2.508
1267,2.508
1268,2.579
1269,2.661
1270,2.533
1271,2.575
1272,2.653
1273,2.575
1274,2.561
1275,2.600
1276,2.602
1277,2.622
1278,2.566
1279,2.551
1280,2.601
1281,2.532
1282,2.548
1283,2.567
1284,2.476
1285,2.631
1286,2.565
1287,2.441
1288,2.540
1289,2.504
1290,2.491
1291,2.597
1292,2.566
1293,2.601
1294,2.516
1295,2.488
1296,2.607
1297,2.611
1298,2.561
1299,2.561
1300,2.538
1301,2.593
1302,2.537
1303,2.533
1304,2.560
1305,2.580
1306,2.550
1307,2.551
1308,2.564
1309,2.571
1310,2.517
1311,2.506
1312,2.414
1313,2.541
1314,2.423
1315,2.430
1316,2.537
1317,2.540
1318,2.595
1319,2.479
1320,2.590
1321,2.548
1322,2.599
1323,2.554
1324,2.515
1325,2.409
1326,2.438
1327,2.459
1328,2.431
1329,2.494
1330,2.475
1331,2.405
1332,2.384
1333,2.487
1334,2.537
1335,2.473
1336,2.437
1337,2.380
1338,2.372
1339,2.376
1340,2.256
1341,2.108
1342,1.973
1343,1.884
1344,1.776
1345,1.753
1346,1.837
