X,Y
1,353.424
2,345.055
3,343.620
4,341.352
5,338.176
6,335.027
7,331.852
8,328.310
9,327.249
10,324.845
11,321.322
12,318.118
13,316.368
14,314.436
15,313.914
16,313.661
17,312.387
18,312.460
19,312.053
20,309.909
21,309.119
22,309.395
23,310.329
24,309.956
25,307.993
26,307.389
27,305.386
28,304.285
29,302.366
30,300.452
31,299.638
32,299.983
33,299.041
34,298.373
35,295.808
36,295.846
37,298.908
38,300.752
39,301.068
40,300.527
41,302.097
42,316.409
43,327.765
44,336.143
45,339.452
46,346.694
47,350.414
48,350.598
49,349.370
50,349.364
51,347.240
52,348.034
53,348.704
54,347.061
55,345.887
56,345.123
57,345.983
58,346.417
59,345.448
60,345.451
61,345.874
62,343.858
63,343.692
64,346.999
65,355.269
66,355.061
67,354.262
68,353.205
69,353.864
70,352.934
71,351.100
72,350.023
73,352.079
74,365.838
75,368.921
76,370.229
77,369.722
78,369.149
79,367.789
80,368.833
81,366.820
82,365.260
83,366.086
84,367.755
85,368.277
86,366.499
87,367.424
88,368.763
89,384.260
90,390.396
91,390.838
92,391.898
93,397.812
94,417.112
95,419.703
96,418.275
97,418.504
98,418.350
99,417.988
100,417.454
101,416.183
102,412.219
103,410.108
104,405.794
105,406.055
106,405.881
107,410.564
108,414.215
109,413.881
110,419.692
111,418.912
112,414.195
113,411.502
114,409.176
115,405.516
116,402.006
117,402.132
118,391.007
119,372.911
120,366.610
121,361.395
122,356.970
123,354.826
124,354.725
125,351.895
126,346.734
127,343.393
128,341.815
129,339.899
130,337.544
131,335.689
132,332.102
133,329.896
134,340.135
135,345.474
136,343.768
137,344.704
138,341.084
139,338.535
140,337.425
141,334.034
142,332.621
143,334.199
144,379.735
145,401.665
146,400.994
147,402.792
148,400.643
149,398.207
150,393.510
151,390.567
152,388.597
153,388.117
154,385.889
155,382.595
156,379.966
157,374.244
158,372.122
159,369.335
160,367.007
161,362.454
162,359.813
163,357.997
164,355.636
165,354.471
166,349.470
167,345.749
168,343.733
169,341.105
170,339.741
171,335.811
172,331.264
173,328.393
174,326.154
175,323.746
176,318.576
177,317.407
178,318.613
179,316.742
180,313.351
181,311.455
182,309.148
183,309.334
184,307.820
185,331.051
186,344.088
187,346.438
188,345.796
189,342.700
190,337.883
191,335.470
192,331.450
193,329.156
194,328.577
195,326.613
196,322.847
197,320.949
198,317.146
199,313.792
200,312.001
201,309.416
202,307.375
203,304.833
204,300.909
205,296.442
206,294.483
207,292.901
208,292.129
209,289.375
210,285.000
211,281.518
212,278.883
213,275.483
214,270.744
215,266.313
216,264.146
217,260.354
218,254.472
219,249.378
220,244.575
221,0.570
222,0.620
223,0.621
224,0.625
225,0.623
226,0.618
227,0.616
228,0.618
229,0.637
230,0.616
231,0.623
232,0.622
233,0.630
234,0.610
235,0.618
236,0.632
237,0.618
238,0.604
239,0.618
240,0.615
241,0.619
242,0.624
243,0.637
244,0.634
245,0.626
246,0.612
247,0.630
248,0.624
249,0.627
250,0.607
251,0.639
252,0.644
253,0.610
254,0.636
255,0.617
256,0.604
257,0.629
258,0.603
259,0.633
260,0.625
261,0.627
262,0.628
263,0.626
264,0.612
265,0.612
266,0.610
267,0.596
268,0.606
269,0.590
270,0.623
271,0.594
272,0.604
273,0.603
274,0.595
275,0.622
276,0.610
277,0.601
278,0.604
279,0.593
280,0.601
281,0.636
282,0.597
283,0.614
284,0.617
285,0.620
286,0.625
287,0.612
288,0.621
289,0.614
290,0.597
291,0.611
292,0.608
293,0.626
294,4.754
295,28.382
296,57.341
297,41.672
298,31.383
299,37.502
300,38.340
301,35.187
302,36.937
303,32.965
304,25.964
305,22.333
306,19.319
307,16.111
308,13.976
309,14.716
310,13.172
311,10.010
312,8.631
313,11.088
314,12.710
315,12.210
316,11.332
317,10.066
318,8.695
319,7.564
320,6.836
321,5.762
322,7.623
323,10.523
324,10.892
325,10.295
326,9.651
327,9.513
328,9.323
329,9.264
330,9.103
331,8.923
332,8.587
333,8.263
334,8.481
335,8.407
336,8.313
337,8.236
338,8.018
339,7.991
340,8.002
341,7.994
342,7.876
343,7.750
344,7.670
345,7.578
346,7.568
347,7.368
348,7.249
349,7.358
350,7.545
351,7.339
352,7.272
353,7.145
354,7.134
355,7.049
356,7.120
357,6.779
358,6.160
359,6.214
360,6.822
361,7.000
362,6.986
363,6.829
364,6.764
365,6.769
366,6.637
367,6.721
368,6.608
369,6.577
370,6.575
371,6.447
372,6.489
373,6.487
374,6.456
375,6.355
376,6.261
377,6.355
378,6.271
379,6.126
380,6.148
381,6.178
382,6.190
383,6.170
384,6.175
385,6.185
386,6.274
387,6.151
388,6.074
389,6.131
390,6.082
391,5.939
392,5.703
393,5.480
394,5.813
395,5.833
396,5.791
397,5.806
398,5.835
399,5.831
400,5.890
401,5.989
402,6.124
403,6.174
404,5.954
405,5.831
406,5.758
407,5.726
408,5.683
409,5.647
410,5.529
411,5.534
412,5.316
413,5.021
414,5.007
415,5.423
416,5.559
417,5.589
418,5.565
419,5.590
420,5.485
421,5.460
422,5.474
423,5.425
424,5.411
425,5.400
426,5.408
427,5.446
428,5.332
429,5.337
430,5.332
431,5.331
432,5.331
433,5.320
434,5.345
435,5.334
436,5.300
437,5.255
438,5.272
439,5.227
440,5.212
441,5.084
442,5.120
443,5.114
444,5.140
445,5.107
446,5.124
447,5.142
448,5.066
449,5.083
450,5.118
451,5.068
452,5.129
453,5.112
454,5.095
455,5.082
456,5.006
457,5.051
458,5.007
459,5.074
460,5.050
461,5.041
462,4.920
463,4.974
464,4.983
465,4.912
466,4.981
467,4.997
468,5.017
469,4.923
470,4.928
471,4.880
472,4.823
473,4.895
474,4.884
475,4.889
476,4.849
477,4.900
478,4.851
479,4.820
480,4.843
481,4.836
482,4.820
483,4.810
484,4.843
485,4.791
486,4.896
487,4.817
488,4.797
489,4.718
490,4.798
491,4.746
492,4.770
493,4.705
494,4.731
495,4.823
496,4.827
497,4.932
498,4.942
499,4.802
500,4.768
501,4.727
502,4.775
503,4.657
504,4.610
505,4.610
506,4.621
507,4.676
508,4.597
509,4.533
510,4.568
511,4.608
512,4.594
513,4.560
514,4.545
515,4.561
516,4.556
517,4.599
518,4.523
519,4.574
520,4.544
521,4.586
522,4.568
523,4.503
524,4.481
525,4.532
526,4.533
527,4.533
528,4.533
529,4.551
530,4.526
531,4.483
532,4.487
533,4.495
534,4.507
535,4.545
536,4.506
537,4.485
538,4.466
539,4.402
540,4.437
541,4.394
542,4.405
543,4.432
544,4.353
545,4.405
546,4.372
547,4.451
548,4.395
549,4.375
550,4.395
551,4.376
552,4.299
553,4.259
554,4.196
555,4.141
556,4.111
557,4.082
558,4.010
559,3.951
560,3.953
561,4.023
562,4.022
563,4.129
564,4.120
565,4.158
566,4.195
567,4.214
568,4.326
569,4.302
570,4.181
571,4.322
572,4.240
573,4.250
574,4.271
575,4.211
576,4.197
577,4.215
578,4.271
579,4.307
580,4.254
581,4.275
582,4.222
583,4.222
584,4.235
585,4.234
586,4.280
587,4.266
588,4.207
589,4.203
590,4.282
591,4.229
592,4.173
593,4.239
594,4.237
595,4.231
596,4.167
597,4.242
598,4.153
599,4.241
600,4.196
