X,Y
1,313.208
2,306.114
3,305.089
4,303.143
5,299.434
6,297.745
7,294.894
8,291.665
9,290.736
10,289.251
11,285.676
12,283.501
13,282.189
14,279.573
15,278.980
16,279.332
17,277.102
18,277.336
19,277.183
20,276.542
21,275.571
22,276.798
23,277.489
24,276.541
25,275.354
26,273.943
27,272.851
28,271.657
29,269.906
30,268.560
31,267.853
32,267.539
33,267.980
34,266.915
35,266.117
36,265.185
37,267.254
38,269.162
39,268.857
40,269.071
41,270.646
42,283.474
43,295.289
44,301.962
45,305.761
46,311.636
47,313.662
48,314.002
49,314.337
50,312.916
51,312.094
52,312.836
53,313.696
54,312.868
55,311.160
56,310.575
57,311.902
58,313.331
59,311.275
60,310.883
61,310.804
62,309.650
63,310.205
64,313.124
65,320.131
66,318.502
67,318.686
68,317.828
69,317.709
70,317.508
71,316.359
72,316.309
73,317.670
74,329.150
75,332.299
76,333.178
77,332.995
78,330.925
79,332.682
80,332.097
81,331.560
82,331.161
83,329.921
84,331.634
85,331.301
86,330.429
87,332.457
88,333.198
89,346.742
90,351.828
91,352.620
92,352.451
93,358.352
94,375.953
95,376.780
96,377.404
97,376.953
98,376.731
99,376.661
100,375.859
101,373.855
102,372.995
103,368.994
104,367.420
105,366.167
106,367.539
107,372.195
108,375.582
109,374.309
110,378.680
111,378.422
112,374.317
113,371.945
114,369.322
115,366.490
116,365.021
117,366.738
118,357.082
119,337.929
120,333.450
121,330.131
122,326.991
123,323.890
124,324.445
125,319.989
126,316.877
127,314.354
128,313.726
129,310.572
130,309.303
131,308.372
132,304.442
133,302.580
134,310.054
135,317.979
136,315.911
137,316.242
138,313.516
139,310.204
140,307.375
141,306.826
142,305.201
143,306.094
144,346.514
145,363.304
146,366.347
147,365.498
148,362.533
149,360.399
150,358.811
151,356.857
152,355.715
153,353.716
154,351.441
155,348.327
156,346.447
157,343.283
158,341.149
159,338.509
160,334.921
161,331.614
162,331.351
163,328.428
164,326.445
165,324.731
166,320.255
167,318.476
168,316.155
169,314.844
170,310.869
171,308.783
172,304.549
173,300.835
174,300.177
175,297.541
176,294.455
177,293.498
178,292.567
179,291.467
180,288.460
181,287.812
182,287.186
183,285.055
184,283.353
185,304.960
186,316.561
187,319.878
188,318.975
189,315.354
190,311.602
191,308.975
192,306.273
193,304.262
194,303.858
195,302.441
196,299.071
197,299.543
198,296.023
199,291.751
200,290.087
201,287.579
202,286.267
203,282.406
204,279.817
205,274.752
206,272.307
207,272.446
208,272.088
209,268.964
210,265.744
211,262.251
212,259.193
213,254.846
214,251.132
215,249.421
216,245.804
217,241.139
218,237.227
219,232.466
220,228.094
221,0.499
222,0.550
223,0.567
224,0.577
225,0.569
226,0.561
227,0.571
228,0.571
229,0.570
230,0.564
231,0.570
232,0.565
233,0.553
234,0.558
235,0.571
236,0.562
237,0.561
238,0.574
239,0.564
240,0.549
241,0.569
242,0.540
243,0.543
244,0.559
245,0.567
246,0.560
247,0.570
248,0.569
249,0.556
250,0.561
251,0.564
252,0.555
253,0.540
254,0.564
255,0.548
256,0.559
257,0.537
258,0.552
259,0.559
260,0.556
261,0.568
262,0.546
263,0.569
264,0.567
265,0.565
266,0.555
267,0.552
268,0.563
269,0.558
270,0.573
271,0.559
272,0.563
273,0.544
274,0.546
275,0.548
276,0.562
277,0.549
278,0.546
279,0.547
280,0.542
281,0.558
282,0.555
283,0.540
284,0.539
285,0.553
286,0.547
287,0.542
288,0.535
289,0.535
290,0.545
291,0.554
292,0.554
293,0.565
294,3.854
295,23.030
296,47.438
297,34.929
298,25.467
299,29.723
300,30.029
301,27.660
302,28.434
303,25.316
304,20.249
305,17.404
306,15.300
307,13.141
308,11.462
309,11.933
310,10.931
311,8.438
312,7.232
313,9.103
314,10.313
315,9.985
316,9.350
317,8.397
318,7.301
319,6.465
320,5.903
321,4.988
322,6.407
323,8.640
324,9.017
325,8.452
326,7.920
327,7.885
328,7.770
329,7.636
330,7.493
331,7.382
332,7.127
333,6.816
334,7.029
335,7.027
336,6.893
337,6.790
338,6.658
339,6.662
340,6.585
341,6.576
342,6.513
343,6.474
344,6.375
345,6.361
346,6.287
347,6.149
348,5.998
349,6.066
350,6.221
351,6.165
352,6.046
353,6.005
354,5.923
355,5.980
356,5.880
357,5.659
358,5.180
359,5.178
360,5.694
361,5.821
362,5.762
363,5.676
364,5.679
365,5.632
366,5.582
367,5.536
368,5.536
369,5.490
370,5.469
371,5.445
372,5.426
373,5.463
374,5.342
375,5.350
376,5.363
377,5.299
378,5.225
379,5.125
380,5.161
381,5.187
382,5.204
383,5.123
384,5.227
385,5.209
386,5.254
387,5.175
388,5.125
389,5.133
390,5.133
391,4.998
392,4.767
393,4.618
394,4.863
395,4.897
396,4.902
397,4.882
398,4.874
399,4.877
400,4.885
401,4.997
402,5.116
403,5.229
404,5.022
405,4.878
406,4.823
407,4.766
408,4.711
409,4.681
410,4.672
411,4.669
412,4.517
413,4.179
414,4.233
415,4.564
416,4.619
417,4.660
418,4.621
419,4.674
420,4.603
421,4.589
422,4.576
423,4.514
424,4.536
425,4.572
426,4.520
427,4.527
428,4.465
429,4.441
430,4.471
431,4.440
432,4.440
433,4.441
434,4.409
435,4.445
436,4.427
437,4.416
438,4.404
439,4.357
440,4.337
441,4.297
442,4.242
443,4.302
444,4.307
445,4.282
446,4.317
447,4.323
448,4.231
449,4.258
450,4.269
451,4.263
452,4.231
453,4.239
454,4.195
455,4.266
456,4.243
457,4.176
458,4.157
459,4.217
460,4.163
461,4.165
462,4.183
463,4.128
464,4.105
465,4.117
466,4.118
467,4.131
468,4.098
469,4.113
470,4.142
471,4.051
472,4.097
473,4.062
474,4.070
475,4.038
476,4.095
477,4.047
478,4.021
479,4.035
480,4.014
481,4.045
482,4.008
483,4.003
484,4.022
485,4.005
486,4.020
487,4.015
488,3.966
489,3.994
490,3.957
491,3.993
492,3.980
493,3.986
494,3.950
495,3.972
496,4.059
497,4.172
498,4.153
499,4.004
500,3.924
501,3.945
502,3.925
503,3.901
504,3.836
505,3.839
506,3.817
507,3.828
508,3.810
509,3.801
510,3.806
511,3.842
512,3.867
513,3.807
514,3.858
515,3.831
516,3.814
517,3.760
518,3.784
519,3.828
520,3.811
521,3.815
522,3.809
523,3.789
524,3.735
525,3.751
526,3.777
527,3.707
528,3.747
529,3.796
530,3.712
531,3.750
532,3.764
533,3.759
534,3.722
535,3.761
536,3.722
537,3.746
538,3.727
539,3.702
540,3.696
541,3.697
542,3.688
543,3.646
544,3.672
545,3.672
546,3.663
547,3.635
548,3.587
549,3.609
550,3.641
551,3.655
552,3.547
553,3.585
554,3.518
555,3.497
556,3.438
557,3.388
558,3.343
559,3.326
560,3.304
561,3.346
562,3.418
563,3.400
564,3.438
565,3.451
566,3.501
567,3.548
568,3.610
569,3.553
570,3.558
571,3.527
572,3.567
573,3.516
574,3.540
575,3.482
576,3.528
577,3.554
578,3.506
579,3.489
580,3.499
581,3.480
582,3.476
583,3.506
584,3.547
585,3.531
586,3.480
587,3.512
588,3.496
589,3.518
590,3.548
591,3.498
592,3.500
593,3.493
594,3.446
595,3.477
596,3.468
597,3.485
598,3.507
599,3.496
600,3.455
601,3.462
602,3.453
603,3.492
604,3.476
605,3.477
606,3.452
607,3.483
608,3.445
609,3.506
610,3.519
611,3.523
612,3.510
613,3.527
614,3.492
615,3.473
616,3.500
617,3.445
618,3.430
619,3.434
620,3.423
621,3.436
622,3.447
623,3.412
624,3.371
625,3.411
626,3.398
627,3.416
628,3.408
629,3.412
630,3.416
631,3.419
632,3.365
633,3.379
634,3.409
635,3.386
636,3.380
637,3.381
638,3.372
639,3.397
640,3.384
641,3.338
642,3.350
643,3.379
644,3.359
645,3.357
646,3.314
647,3.312
648,3.336
649,3.311
650,3.332
651,3.324
652,3.357
653,3.309
654,3.316
655,3.330
656,3.359
657,3.350
658,3.333
659,3.308
660,3.326
661,3.288
662,3.294
663,3.317
664,3.346
665,3.302
666,3.280
667,3.300
668,3.305
669,3.320
670,3.255
671,3.271
672,3.266
673,3.262
674,3.240
675,3.231
676,3.242
677,3.270
678,3.264
679,3.255
680,3.254
681,3.283
682,3.251
683,3.192
684,3.261
685,3.237
686,3.261
687,3.276
688,3.252
689,3.235
690,3.231
691,3.207
692,3.156
693,3.203
694,3.214
695,3.236
696,3.220
697,3.273
698,3.251
699,3.222
700,3.191
701,3.192
702,3.178
703,3.232
704,3.256
705,3.239
706,3.244
707,3.256
708,3.231
709,3.205
710,3.201
711,3.251
712,3.324
713,3.275
714,3.283
715,3.312
716,3.240
717,3.228
718,3.219
719,3.183
720,3.192
721,3.204
722,3.177
723,3.169
724,3.221
725,3.182
726,3.199
727,3.193
728,3.172
729,3.156
730,3.165
731,3.153
732,3.146
733,3.191
734,3.124
735,3.152
736,3.145
737,3.205
738,3.159
739,3.139
740,3.128
741,3.147
742,3.142
743,3.146
744,3.145
745,3.113
746,3.159
747,3.164
748,3.159
749,3.104
750,3.119
751,3.122
752,3.109
753,3.106
754,3.084
755,3.098
756,3.080
757,3.089
758,3.120
759,3.092
760,3.095
761,3.107
762,3.088
763,3.076
764,3.047
765,3.042
766,3.036
767,3.072
768,3.057
769,3.012
770,2.950
771,3.061
772,3.082
773,3.054
774,3.075
775,3.094
776,3.088
777,3.130
778,3.172
779,3.106
780,3.111
781,3.087
782,3.067
783,3.075
784,3.046
785,3.041
786,3.052
787,3.024
788,3.039
789,3.023
790,3.049
791,3.076
792,3.048
793,3.052
794,3.074
795,3.046
796,3.031
797,3.053
798,3.048
799,3.006
800,3.010
801,3.043
802,3.013
803,3.047
804,2.994
805,3.026
806,3.034
807,2.933
808,2.934
809,2.948
810,2.979
811,2.983
812,2.969
813,2.953
814,2.979
815,3.012
816,2.960
817,2.990
818,3.004
819,2.979
820,3.014
821,2.979
822,2.978
823,2.970
824,2.999
825,3.019
826,2.973
827,2.931
828,3.021
829,2.979
830,2.963
831,2.934
832,2.966
833,3.006
834,2.954
835,2.976
836,2.971
837,2.996
838,3.031
839,2.985
840,2.947
841,2.942
842,2.918
843,2.915
844,2.906
845,2.902
846,2.898
847,2.919
848,2.943
849,2.862
850,2.892
851,2.927
852,2.929
853,2.894
854,2.925
855,2.919
856,2.903
857,2.948
858,2.938
859,2.870
860,2.916
861,2.860
862,2.895
863,2.871
864,2.913
865,2.929
866,2.889
867,2.933
868,2.914
869,2.871
870,2.900
871,2.945
872,2.922
873,2.897
874,2.897
875,2.882
876,2.915
877,2.952
878,2.878
879,2.890
880,2.851
881,2.877
882,2.917
883,2.877
884,2.874
885,2.885
886,2.882
887,2.884
888,2.903
889,2.908
890,2.909
891,2.864
892,2.851
893,2.846
894,2.875
895,2.850
896,2.845
897,2.869
898,2.854
899,2.858
900,2.860
901,2.867
902,2.879
903,2.849
904,2.885
905,2.876
906,2.863
907,2.824
908,2.823
909,2.850
910,2.835
911,2.855
912,2.834
913,2.834
914,2.833
915,2.821
916,2.790
917,2.798
918,2.769
919,2.647
920,2.552
921,2.521
922,2.575
923,2.669
924,2.763
925,2.781
926,2.798
927,2.804
928,2.833
929,2.811
930,2.834
931,2.820
932,2.830
933,2.796
934,2.804
935,2.813
936,2.817
937,2.801
938,2.793
939,2.804
940,2.781
941,2.790
942,2.844
943,2.825
944,2.807
945,2.788
946,2.798
947,2.804
948,2.774
949,2.813
950,2.768
951,2.794
952,2.786
953,2.826
954,2.801
955,2.751
956,2.798
957,2.789
958,2.787
959,2.775
960,2.755
961,2.792
962,2.752
963,2.797
964,2.825
965,2.791
966,2.774
967,2.779
968,2.766
969,2.807
970,2.779
971,2.788
972,2.737
973,2.766
974,2.772
975,2.748
976,2.751
977,2.737
978,2.725
979,2.683
980,2.758
981,2.746
982,2.738
983,2.740
984,2.755
985,2.755
986,2.719
987,2.740
988,2.746
989,2.747
