X,Y
1,1.73283
2,1.63314
3,1.35962
4,1.15074
5,1.25638
6,1.56992
7,1.76441
8,1.79592
9,1.72852
10,1.67160
11,1.61223
12,1.54216
13,1.47712
14,1.40124
15,1.29066
16,1.13540
17,0.96073
18,0.82408
19,0.84938
20,1.09369
21,1.39485
22,1.57563
23,1.61018
24,1.59272
25,1.56078
26,1.53838
27,1.52049
28,1.50010
29,1.47541
30,1.47007
31,1.46299
32,1.45270
33,1.45164
34,1.42879
35,1.42714
36,1.42217
37,1.41645
38,1.40484
39,1.40045
40,1.39143
41,1.39112
42,1.38630
43,1.37967
44,1.37217
45,1.36977
46,1.36863
47,1.36368
48,1.36478
49,1.36115
50,1.35386
51,1.35281
52,1.34831
53,1.35112
54,1.34162
55,1.34172
56,1.33805
57,1.32183
58,1.32594
59,1.33077
60,1.33346
61,1.32351
62,1.31938
63,1.31638
64,1.30502
65,1.30801
66,1.30100
67,1.29915
68,1.29752
69,1.29613
70,1.29609
71,1.28582
72,1.27282
73,1.20663
74,1.11218
75,1.13718
76,1.21947
77,1.26966
78,1.29124
79,1.29870
80,1.29548
81,1.29436
82,1.29049
83,1.28516
84,1.28235
85,1.28053
86,1.27467
87,1.27438
88,1.27294
89,1.27208
90,1.26406
91,1.26307
92,1.26949
93,1.26074
94,1.26094
95,1.27428
96,1.26408
97,1.26604
98,1.26232
99,1.26252
100,1.25088
101,1.25525
102,1.26089
103,1.24476
104,1.24718
105,1.25097
106,1.25311
107,1.24516
108,1.25083
109,1.24812
110,1.24903
111,1.24719
112,1.24673
113,1.24844
114,1.25311
115,1.25507
116,1.25838
117,1.26093
118,1.25248
119,1.25052
120,1.24353
121,1.23432
122,1.23616
123,1.22926
124,1.23775
125,1.23649
126,1.22445
127,1.22824
128,1.21627
129,1.21456
130,1.21632
131,1.22518
132,1.22374
133,1.22350
134,1.22028
135,1.22072
136,1.23399
137,1.23476
138,1.24519
139,1.26986
140,1.28194
141,1.28001
142,1.26471
